*test
新庄かなえ    三森すずこ
高宮なすの    鳴海杏子
板東まりも    花澤香菜



*高宮なすのです！


高宮なすの    鳴海杏子
押本陽太    逢坂良太
板東まりも    花澤香菜
新庄かなえ    三森すずこ
押本ユリ    渡部優衣



*ミカグラ学園組曲


一宮エルナ    木村珠莉
御神楽星鎖    大西沙織
藤白おとね    小澤亜李
八坂ひみ    諏訪彩花
二宮シグレ    島﨑信長
赤間遊兎    花江夏樹
九頭竜京摩    細谷佳正
湊川貞松    古川慎
射水アスヒ    加隈亜衣
ビミィ    松岡禎丞
花袋めいか    上田麗奈
鳴海クルミ    茅野愛衣
百合子    西明日香


*アルティメット・スパイダーマンウェブ・ウォーリアーズ



スパイダーマン    川田紳司
エージェント・ヴェノム    後藤光祐
アイアン・スパイダーマン    岩端卓也
スパイダーガール    平井祥恵
スパイダーマン2099    荒井勇樹
スパイダーマン・ノワール    古賀明
スパイダー・ナイト    森田了介
マイルス・モラレス    朝比奈拓見
ホワイト・タイガー    志田有彩
ノバ    立岡耕造
アイアンフィスト    倉富亮
パワーマン    田尻浩章
ナレーション    落合隼亮


*響け！ユーフォニアム


黄前久美子    黒沢ともよ
加藤葉月    朝井彩加
川島緑輝    豊田萌絵
高坂麗奈    安済知佳
田中あすか    寿美菜子
小笠原晴香    早見沙織
中世古香織    茅原実里
塚本秀一    石谷春貴
滝昇    櫻井孝宏



*銀魂ﾟ



坂田銀時    杉田智和
志村新八    阪口大助
神楽    釘宮理恵
定春    高橋美佳子



*トリアージX



三神嵐    赤羽根健治
木場美琴    近藤唯
梨田織葉    佐藤亜美菜
狭霧友子    大浦冬華
剣光姫    浅野真澄
柩小夜    白石涼子
フィオナ・蘭・ウィンチェスター    久川綾
望月正宗    黒田崇矢
村咲馨    嘉山未紗
村咲薫    安野希世乃
D    佐藤せつじ
Mr.アストロ    星野貴紀
護龍    國立幸
犬鳴慎一郎    三木眞一郎
小湊雛子    大空直美
桃木野由宇    橘田いずみ
多々良五十六    手塚秀彰
鈴江このみ    味里
三日月はろん    野水伊織
三日月すみれ    幸田夢波



*俺物語!!



剛田猛男    江口拓也
大和凛子    潘めぐみ
砂川誠    島﨑信長
砂川愛    井上喜久子
織田隼人    浪川大輔
剛田ゆり子    青木和代
剛田豊    玄田哲章
栗原オサム    榎木淳弥
菜々子    北川里奈
西城まりや    前田玲奈
天海悠紀華    茅野愛衣



*放課後のプレアデス



すばる    高森奈津美
あおい    大橋歩夕
いつき    立野香菜子
ひかる    牧野由依
ななこ    藤田咲
みなと    桑島法子


*えとたま




にゃ〜たん(猫)    村川梨衣
チュウたん(子)    大原さやか
モ〜たん(丑)    松井恵理子
シマたん(寅)    巽悠衣子
ウサたん(卯)    相坂優歌
ドラたん(辰)    内田真礼
シャアたん(巳)    生天目仁美
ウマたん(午)    小澤亜李
メイたん(未)    渕上舞
キーたん(申)    戸田めぐみ
ピヨたん(酉)    佐々木未来
イヌたん(戌)    本多真梨子
ウリたん(亥)    花守ゆみり
天戸タケル    下野紘



*浦和の調ちゃん



高砂調    瀬戸麻沙美
沼影彩湖    大久保瑠美
上木崎常盤    明坂聡美
別所子鹿    久保田未夢
田島桜    大地葉
道祖土緑    東城日沙子
大谷場南    渡部恵子
三室美園    田村奈央




*パンチライン



伊里達優太    井上麻里奈
成木野みかたん    雨宮天
台初明香    釘宮理恵
曳尾谷愛    寿美菜子
秩父ラブラ    戸松遥
チラ之助    吉田有里



*シドニアの騎士 第九惑星戦役


谷風長道    逢坂良太
星白閑    洲崎綾
科戸瀬イザナ    豊崎愛生
岐神海苔夫    櫻井孝宏
緑川纈    金元寿子
仄焔    喜多村英梨
仄烽    喜多村英梨
仄煉    喜多村英梨
小林艦長    大原さやか
勢威一郎    坪井智浩
落合    子安武人
ヒ山ララァ    新井里美
サマリイッタン    田中敦子
山野栄子    森なな子
佐々木    本田貴子
弦打攻市    鳥海浩輔
岐神海蘊    佐倉綾音
丹波新輔    阪脩
斎藤ヒロキ    小山力也


*VAMPIRE HOLMES


ホームズ    瀬名快伸
ハドソン    島﨑信長
キラ    高垣彩陽



